Dataset,AffinityPropagation,AgglomerativeClustering,BIRCH,CoreClustering,DBSCAN,GaussianMixture,HDBSCAN,MeanShift,MiniBatchKMeans,OPTICS,SpectralClustering,Ward
aniso,0.5355,0.6488,0.744,0.5096,,0.9085,0.8737,0.515,0.7216,0.3869,0.8834,0.6909
balance-scale,1.766,2.3398,2.1002,1.3311,,1.7545,,,1.7349,,1.8032,1.833
blobs,0.4793,1.1708,0.4815,0.4794,0.689,0.4799,0.6946,0.4793,0.4791,0.2859,0.4799,0.4799
data1,0.6083,0.9086,1.0764,1.4589,0.5776,1.0633,1.2233,0.6085,1.0439,0.8451,1.2395,0.9032
data2,0.98,1.2123,0.9459,0.6727,0.6852,1.0522,9.4373,0.6702,0.9706,0.6941,1.5425,0.8708
data3,0.7621,1.1036,1.1586,2.1146,,1.0662,,1.041,1.0573,1.0612,1.0749,1.1018
data4,0.6844,0.6866,0.7357,0.7811,0.7252,0.681,1.4639,0.7464,0.7154,0.3091,0.7038,0.7367
ecoli,0.7457,0.4798,1.0728,0.7866,,2.0243,,0.4617,1.0565,,1.3052,1.1209
glass,1.0015,0.411,1.0559,0.7644,,1.6315,0.755,0.664,1.069,0.3956,1.5054,1.1322
heart-statlog,2.33,0.7078,2.5297,1.5303,,2.3894,,,2.088,,2.256,2.446
iris,0.5976,0.537,0.7466,0.5915,0.4529,1.0847,0.5976,0.5976,0.8277,0.5083,0.921,0.8361
noisy_circles,0.8435,1.7437,1.2387,240.5861,240.5861,1.1987,240.5861,,1.1981,0.6887,240.5861,1.198
noisy_moons,0.8145,0.8381,0.8576,1.0281,1.0281,0.8112,1.0281,0.8136,0.8117,0.4934,1.0281,0.8506
varied,0.4929,0.5838,0.5597,0.6063,0.4678,0.6846,0.5605,0.6334,0.6334,0.4085,0.6169,0.682
vehicle,1.6654,0.8192,1.1708,0.9829,,1.1418,,0.8219,1.0799,,1.227,1.1305
wisc,5.2846,0.3993,0.828,0.6355,0.1809,1.045,1.1353,1.1812,0.8213,2.5565,0.8236,0.8515
zoo,2.5022,0.936,1.0704,0.6216,0.0,1.3785,,1.4292,1.3021,0.5993,1.4122,1.2536
