Type,Algorithm,Mean_ARI,Std_ARI,Mean_NMI,Mean_Silhouette,n_datasets
synthetic,MiniBatchKMeans,0.4317,0.3171,0.4691,0.4769,9
synthetic,AffinityPropagation,0.4035,0.281,0.456,0.5231,9
synthetic,MeanShift,0.4862,0.3183,0.5013,0.5524,9
synthetic,SpectralClustering,0.6281,0.3982,0.6747,0.3823,9
synthetic,Ward,0.4775,0.3297,0.5234,0.4675,9
synthetic,AgglomerativeClustering,0.2097,0.2346,0.2703,0.1652,9
synthetic,DBSCAN,0.4746,0.4019,0.5243,0.3794,9
synthetic,HDBSCAN,0.7944,0.3125,0.8155,0.3181,9
synthetic,OPTICS,0.4895,0.2954,0.5866,0.6339,9
synthetic,BIRCH,0.4227,0.2949,0.4708,0.442,9
synthetic,GaussianMixture,0.5301,0.3729,0.5577,0.4622,9
synthetic,CoreClustering,0.7544,0.2077,0.7874,0.4198,9
real-world,MiniBatchKMeans,0.3961,0.2558,0.4485,0.3256,8
real-world,AffinityPropagation,0.2667,0.2456,0.3417,0.2427,8
real-world,MeanShift,0.202,0.2895,0.2368,0.4533,8
real-world,SpectralClustering,0.3825,0.2435,0.4454,0.2766,8
real-world,Ward,0.4223,0.3253,0.4639,0.3047,8
real-world,AgglomerativeClustering,0.1894,0.3263,0.2439,0.2951,8
real-world,DBSCAN,-0.0059,0.0475,0.0888,0.8631,8
real-world,HDBSCAN,0.1192,0.1955,0.1873,0.4695,8
real-world,OPTICS,0.096,0.1276,0.217,0.5444,8
real-world,BIRCH,0.4589,0.349,0.4583,0.3144,8
real-world,GaussianMixture,0.4413,0.2838,0.4668,0.2625,8
real-world,CoreClustering,0.3209,0.31,0.393,0.3738,8
